{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cochlospermum/Cochlospermum_003_028.jpg', 'label': 0, 'file_name': 'Cochlospermum_003_028.jpg', 'class': 'Cochlospermum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Aspidosperma/Aspidosperma_006_025.jpg', 'label': 1, 'file_name': 'Aspidosperma_006_025.jpg', 'class': 'Aspidosperma'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Astronium/Astronium_002_019.jpg', 'label': 2, 'file_name': 'Astronium_002_019.jpg', 'class': 'Astronium'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Copaifera/Copaifera_003_029.jpg', 'label': 3, 'file_name': 'Copaifera_003_029.jpg', 'class': 'Copaifera'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Aspidosperma/Aspidosperma_000_023.jpg', 'label': 1, 'file_name': 'Aspidosperma_000_023.jpg', 'class': 'Aspidosperma'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Combretum/Combretum_001_003.jpg', 'label': 4, 'file_name': 'Combretum_001_003.jpg', 'class': 'Combretum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Byrsonima/Byrsonima_000_009.jpg', 'label': 5, 'file_name': 'Byrsonima_000_009.jpg', 'class': 'Byrsonima'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cochlospermum/Cochlospermum_004_003.jpg', 'label': 0, 'file_name': 'Cochlospermum_004_003.jpg', 'class': 'Cochlospermum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cecropia/Cecropia_000_001.jpg', 'label': 6, 'file_name': 'Cecropia_000_001.jpg', 'class': 'Cecropia'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Apuleia/Apuleia_002_033.jpg', 'label': 7, 'file_name': 'Apuleia_002_033.jpg', 'class': 'Apuleia'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Aspidosperma/Aspidosperma_002_023.jpg', 'label': 1, 'file_name': 'Aspidosperma_002_023.jpg', 'class': 'Aspidosperma'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Copaifera/Copaifera_001_006.jpg', 'label': 3, 'file_name': 'Copaifera_001_006.jpg', 'class': 'Copaifera'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Aspidosperma/Aspidosperma_006_012.jpg', 'label': 1, 'file_name': 'Aspidosperma_006_012.jpg', 'class': 'Aspidosperma'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cecropia/Cecropia_006_005.jpg', 'label': 6, 'file_name': 'Cecropia_006_005.jpg', 'class': 'Cecropia'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Combretum/Combretum_002_002.jpg', 'label': 4, 'file_name': 'Combretum_002_002.jpg', 'class': 'Combretum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Copaifera/Copaifera_004_020.jpg', 'label': 3, 'file_name': 'Copaifera_004_020.jpg', 'class': 'Copaifera'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cochlospermum/Cochlospermum_001_036.jpg', 'label': 0, 'file_name': 'Cochlospermum_001_036.jpg', 'class': 'Cochlospermum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Copaifera/Copaifera_002_036.jpg', 'label': 3, 'file_name': 'Copaifera_002_036.jpg', 'class': 'Copaifera'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Apuleia/Apuleia_003_005.jpg', 'label': 7, 'file_name': 'Apuleia_003_005.jpg', 'class': 'Apuleia'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Byrsonima/Byrsonima_006_034.jpg', 'label': 5, 'file_name': 'Byrsonima_006_034.jpg', 'class': 'Byrsonima'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Calophyllum/Calophyllum_000_008.jpg', 'label': 8, 'file_name': 'Calophyllum_000_008.jpg', 'class': 'Calophyllum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cochlospermum/Cochlospermum_003_021.jpg', 'label': 0, 'file_name': 'Cochlospermum_003_021.jpg', 'class': 'Cochlospermum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Combretum/Combretum_004_018.jpg', 'label': 4, 'file_name': 'Combretum_004_018.jpg', 'class': 'Combretum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Cedrelinga/Cedrelinga_004_013.jpg', 'label': 9, 'file_name': 'Cedrelinga_004_013.jpg', 'class': 'Cedrelinga'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Calophyllum/Calophyllum_001_021.jpg', 'label': 8, 'file_name': 'Calophyllum_001_021.jpg', 'class': 'Calophyllum'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Copaifera/Copaifera_004_037.jpg', 'label': 3, 'file_name': 'Copaifera_004_037.jpg', 'class': 'Copaifera'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Aspidosperma/Aspidosperma_001_028.jpg', 'label': 1, 'file_name': 'Aspidosperma_001_028.jpg', 'class': 'Aspidosperma'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Byrsonima/Byrsonima_003_001.jpg', 'label': 5, 'file_name': 'Byrsonima_003_001.jpg', 'class': 'Byrsonima'}
{'img_path': '../tf_img_classifier_scratch/data/original_jpg_structured_train-validation-only/Combretum/Combretum_003_004.jpg', 'label': 4, 'file_name': 'Combretum_003_004.jpg', 'class': 'Combretum'}
